51300034971,gdd,74,297
51300099176,bgf,146,72
51300138770,abb,247,131
51300160351,egb,231,90
51300181419,cgf,139,215
51300233660,bda,84,289
51300253177,gec,35,165
51300289326,aff,255,80
51300393660,fed,182,105
51300394224,cdb,229,187
51300424243,ged,256,226
51300434262,eac,7,167
51300500522,cag,85,22
51300569175,bbc,196,169
51300583601,fcd,106,18
51300642521,ecg,191,246
51300669430,cca,78,185
51300742003,edc,296,293
51300742226,ffd,126,233
51300749852,bgc,261,114
51300755885,bfe,158,276
51300758732,cbc,216,259
51300772718,abd,21,63
51300776424,age,87,170
51300783974,ede,19,169
51300806594,edb,72,29
51300842285,cda,80,39
51300874805,ecd,191,64
51300904594,bfe,257,278
51300926153,cda,47,44
51300926315,cbd,53,26
51300934230,aed,187,14
51300962814,cfc,169,115
51300969902,fac,293,129
51300981871,fgf,204,27
51301005323,bad,4,212
51301015317,ebb,80,118
51301018435,fbf,70,273
51301025732,bea,122,133
51301034272,ead,152,98
51301042992,aaa,219,27
51301057084,dge,136,238
51301068933,fab,38,21
51301074298,bgf,177,73
51301099374,ebb,124,130
51301100044,caf,50,18
51301126671,adc,285,179
51301140725,edb,184,24
51301160816,ace,184,48
51301162465,baf,5,19
51301167397,baf,242,15
51301192118,afa,281,156
51301212944,bef,237,227
51301226000,fdb,43,144
51301268304,afe,104,19
51301300200,gfg,263,227
51301320804,fae,178,167
51301336039,bfc,11,197
51301360472,edd,102,12
51301370694,dde,271,135
51301371002,bbd,161,130
51301395788,gaf,12,241
51301406443,aed,91,12
51301449296,gda,277,241
51301458879,bcf,23,200
51301461698,dbd,201,254
51301470276,feg,234,50
51301490409,dac,203,7
51301492802,eff,216,90
51301542119,fbb,246,258
51301597388,cde,9,33
51301605351,edd,128,10
51301627659,cba,262,193
51301645123,dba,235,34
51301664042,bcf,184,174
51301670933,gdb,128,68
51301730214,gcf,298,201
51301746734,fcf,59,286
51301778626,bge,135,163
51301794368,egc,146,258
51301799210,fda,271,248
51301817658,gfc,185,143
51301829292,aga,246,201
51301855511,eca,61,236
51301858678,dgc,63,292
51301865251,dbe,107,5
51301879840,gab,221,194
51301942606,gad,128,210
51301965939,afc,46,185
51302015516,cdb,163,218
51302022050,ebd,128,206
51302032449,gab,236,192
51302049144,gff,253,249
51302096333,cad,64,105
51302182242,aaf,240,142
51302187178,fba,27,209
51302196261,ffc,160,276
51302219216,ffe,69,180
51302231490,ebc,187,274
51302248826,aad,167,192
51302257305,bed,140,104
51302315787,bcb,188,133
51302320919,aeb,31,50
51302406758,egb,230,90
51302496969,bgb,167,126
51302512822,aee,269,261
51302518452,dac,82,6
